iter	Logloss
0	0.6389022359
1	0.5930239576
2	0.554974041
3	0.5228146709
4	0.4948612635
5	0.4702031163
6	0.4483227778
7	0.4299718168
8	0.4127688035
9	0.399905027
10	0.3869174993
11	0.3779236185
12	0.3681066916
13	0.3593184751
14	0.3528488924
15	0.3473067818
16	0.3419529896
17	0.3367052521
18	0.3318505257
19	0.3281548526
20	0.3245300239
21	0.3206693239
22	0.3174288341
23	0.3151054587
24	0.3126471878
25	0.3111308931
26	0.3094003556
27	0.3077267469
28	0.3060253682
29	0.30468636
30	0.3028276823
31	0.3014537812
32	0.3002346386
33	0.2990834287
34	0.2982597805
35	0.296922292
36	0.2959238376
37	0.2951471375
38	0.2936591177
39	0.2927588004
40	0.2921445808
41	0.2917055685
42	0.2910849556
43	0.2905361629
44	0.2899000793
45	0.2894574016
46	0.2889736611
47	0.2883021069
48	0.2879050788
49	0.2874100922
50	0.2870548006
51	0.2866140873
52	0.2860171565
53	0.2856815853
54	0.2852947539
55	0.2850210654
56	0.2846595386
57	0.2843679127
58	0.2841333673
59	0.2838330798
60	0.2835806184
61	0.2833738526
62	0.2831463614
63	0.2828909557
64	0.2826714208
65	0.2824493544
66	0.2820572702
67	0.2817240082
68	0.2813085085
69	0.2811078884
70	0.2808856372
71	0.2804747236
72	0.2801989852
73	0.2800824679
74	0.2799130633
75	0.2797577474
76	0.2796005847
77	0.2794656432
78	0.2793006741
79	0.2790996489
80	0.2789298473
81	0.2787981469
82	0.278623382
83	0.2784580277
84	0.2782116258
85	0.2779800304
86	0.2777761819
87	0.2775240647
88	0.2773410582
89	0.2771544889
90	0.2769820312
91	0.2768398235
92	0.2767235977
93	0.276574437
94	0.2764218033
95	0.2763045216
96	0.2761083308
97	0.2759967473
98	0.2758508387
99	0.2757593595
100	0.2755980844
101	0.2755411885
102	0.2753071784
103	0.2751091621
104	0.2749865322
105	0.2748745984
106	0.2747590067
107	0.2746897665
108	0.2745575073
109	0.2744263484
110	0.2743636545
111	0.2743160792
112	0.2742111281
113	0.2741312107
114	0.2740645315
115	0.2739602486
116	0.2739045768
117	0.2738259504
118	0.2737260196
119	0.2736691304
120	0.2735813379
121	0.27351085
122	0.2733951958
123	0.273242896
124	0.2731433767
125	0.2730806674
126	0.2729745122
127	0.2728664706
128	0.2726490091
129	0.2725816993
130	0.2725814845
131	0.2725206335
132	0.2723971885
133	0.2723052587
134	0.2722359412
135	0.2721386744
136	0.2720675017
137	0.2720109542
138	0.2719361591
139	0.2718570048
140	0.2718030367
141	0.2717031544
142	0.2716639255
143	0.2715976298
144	0.2715143576
145	0.2712870534
146	0.2710986363
147	0.2710488967
148	0.2710252166
149	0.2709690976
150	0.2709441912
151	0.2708660614
152	0.2708260341
153	0.2707909771
154	0.270724579
155	0.2706808987
156	0.2706548728
157	0.2705847854
158	0.2705550419
159	0.2704956941
160	0.2703979312
161	0.2703045429
162	0.270266599
163	0.2701523047
164	0.2700540021
165	0.2699753411
166	0.2699285233
167	0.2698610821
168	0.2697736637
169	0.2696788657
170	0.2695585695
171	0.2695085614
172	0.2694290076
173	0.2693971848
174	0.269325246
175	0.2692795377
176	0.2691905077
177	0.2691513378
178	0.2690994498
179	0.2690292214
180	0.2689570821
181	0.2689310884
182	0.2688511423
183	0.2687692595
184	0.2687692564
185	0.2687348631
186	0.2686199977
187	0.2685896757
188	0.2685491799
189	0.2685480333
190	0.2685053803
191	0.2684686541
192	0.2683963863
193	0.2683292966
194	0.2682681801
195	0.2681646023
196	0.2680960039
197	0.2679594144
198	0.2679049672
199	0.267835662
200	0.2677862665
201	0.2677547297
202	0.2676953197
203	0.2676811112
204	0.2675809542
205	0.267546934
206	0.2675278859
207	0.2674928655
208	0.2674445886
209	0.2674445826
210	0.2674046885
211	0.2673062072
212	0.2672371456
213	0.2671217034
214	0.2670834829
215	0.2670283384
216	0.2669712514
217	0.2668988194
218	0.2668637689
219	0.2668299055
220	0.2667789421
221	0.2667636776
222	0.2667614566
223	0.266688048
224	0.2666329536
225	0.2666080453
226	0.2665616985
227	0.2665597849
228	0.2665556101
229	0.2665523998
230	0.2665153534
231	0.2664783758
232	0.2664445709
233	0.2664032519
234	0.2663736496
235	0.2663399224
236	0.2663108697
237	0.2663083544
238	0.2663037887
239	0.2662911162
240	0.2662679431
241	0.2662665561
242	0.2662224559
243	0.2661884771
244	0.2661404443
245	0.2660978404
246	0.2660694151
247	0.2660468387
248	0.266003671
249	0.2659942822
250	0.2659578006
251	0.2659561284
252	0.2659412607
253	0.2659046928
254	0.2658649034
255	0.2658483989
256	0.2658365341
257	0.2657991202
258	0.2657707295
259	0.2657699837
260	0.2657096158
261	0.265697959
262	0.2656378806
263	0.2655932504
264	0.2655508495
265	0.2655345464
266	0.2654957011
267	0.2654888647
268	0.2654880497
269	0.2654211076
270	0.2653872795
271	0.265311315
272	0.2653002999
273	0.2652512921
274	0.265236486
275	0.265216054
276	0.2651713746
277	0.2651158609
278	0.2651028363
279	0.2650621765
280	0.2649983852
281	0.2649584028
282	0.2649010423
283	0.2648536315
284	0.2647556925
285	0.2647428375
286	0.2646642354
287	0.2646061927
288	0.2645320357
