iter	Passed	Remaining
0	263	263619
1	350	174989
2	441	146871
3	532	132526
4	636	126695
5	732	121277
6	820	116358
7	906	112457
8	989	108918
9	1074	106398
10	1169	105168
11	1255	103394
12	1380	104789
13	1485	104611
14	1577	103590
15	1676	103074
16	1765	102097
17	1865	101755
18	1958	101106
19	2055	100700
20	2153	100401
21	2245	99839
22	2337	99313
23	2421	98465
24	2511	97936
25	2625	98353
26	2733	98496
27	2824	98054
28	2922	97853
29	3021	97701
30	3115	97399
31	3206	97005
32	3299	96692
33	3395	96462
34	3498	96445
35	3590	96155
36	3694	96165
37	3782	95763
38	3967	97771
39	4072	97742
40	4212	98521
41	4327	98698
42	4461	99284
43	4565	99199
44	4661	98926
45	4753	98577
46	4848	98316
47	4946	98106
48	5045	97918
49	5152	97900
50	5256	97820
51	5365	97809
52	5464	97647
53	5559	97389
54	5667	97376
55	5773	97318
56	5888	97424
57	5987	97239
58	6080	96976
59	6172	96701
60	6269	96511
61	6363	96276
62	6446	95877
63	6551	95816
64	6652	95691
65	6761	95679
66	6857	95487
67	6949	95251
68	7050	95133
69	7149	94984
70	7235	94666
71	7322	94379
72	7428	94334
73	7529	94222
74	7657	94438
75	7771	94479
76	7871	94351
77	7980	94339
78	8089	94304
79	8184	94118
80	8284	93991
81	8388	93913
82	8484	93738
83	8581	93577
84	8676	93394
85	8770	93209
86	8869	93079
87	8979	93056
88	9085	92999
89	9187	92892
90	9286	92758
91	9392	92695
92	9500	92652
93	9589	92429
94	9692	92335
95	9786	92156
96	9880	91980
97	9979	91851
98	10080	91746
99	10194	91753
100	10316	91822
101	10433	91852
102	10532	91726
103	10624	91529
104	10726	91433
105	10815	91213
106	10903	90998
107	11010	90939
108	11098	90723
109	11180	90459
110	11272	90281
111	11365	90113
112	11449	89872
113	11550	89772
114	11639	89574
115	11738	89453
116	11831	89295
117	11937	89226
118	12029	89058
119	12121	88887
120	12215	88735
121	12311	88601
122	12406	88456
123	12493	88260
124	12590	88132
125	12691	88036
126	12770	87787
127	12855	87576
128	12946	87415
129	13041	87276
130	13076	86745
131	13175	86640
132	13265	86478
133	13354	86306
134	13457	86226
135	13551	86093
136	13649	85982
137	13735	85794
138	13828	85659
139	13916	85489
140	14016	85389
141	14109	85254
142	14200	85103
143	14284	84915
144	14354	84644
145	14445	84495
146	14538	84361
147	14630	84223
148	14729	84127
149	14832	84051
150	14932	83956
151	15026	83830
152	15111	83655
153	15195	83475
154	15286	83337
155	15381	83215
156	15469	83060
157	15550	82868
158	15639	82721
159	15725	82556
160	15812	82400
161	15901	82253
162	15993	82125
163	16086	82002
164	16173	81849
165	16272	81754
166	16356	81588
167	16453	81484
168	16542	81341
169	16645	81271
170	16744	81176
171	16837	81056
172	16926	80912
173	17026	80827
174	17119	80706
175	17213	80590
176	17307	80472
177	17408	80389
178	17488	80213
179	17579	80086
180	17667	79941
181	17764	79843
182	17858	79727
183	17951	79612
184	18005	79319
185	18101	79220
186	18192	79095
187	18289	78995
188	18377	78858
189	18443	78629
190	18518	78435
191	18616	78344
192	18702	78200
193	18803	78120
194	18907	78052
195	18980	77857
196	19068	77725
197	19152	77576
198	19233	77418
199	19320	77283
200	19409	77156
201	19493	77007
202	19584	76890
203	19674	76769
204	19755	76612
205	19846	76494
206	19931	76356
207	20018	76226
208	20109	76107
209	20146	75790
210	20239	75681
211	20336	75592
212	20432	75495
213	20514	75348
214	20603	75224
215	20688	75092
216	20774	74961
217	20862	74836
218	20949	74709
219	21041	74600
220	21144	74531
221	21233	74412
222	21302	74223
223	21391	74104
224	21467	73943
225	21551	73807
226	21639	73687
227	21725	73561
228	21816	73453
229	21905	73336
230	22002	73245
231	22101	73162
232	22192	73055
233	22267	72891
234	22350	72757
235	22457	72702
236	22545	72582
237	22640	72486
238	22721	72347
239	22818	72258
240	22912	72160
241	22993	72021
242	23088	71926
243	23176	71810
244	23264	71691
245	23368	71626
246	23459	71519
247	23557	71433
248	23647	71322
249	23739	71219
250	23879	71258
251	23990	71211
252	24089	71126
253	24184	71030
254	24270	70909
255	24359	70794
256	24448	70681
257	24536	70566
258	24624	70452
259	24720	70358
260	24803	70229
261	24898	70133
262	24994	70040
263	25092	69955
264	25186	69856
265	25277	69750
266	25359	69619
267	25444	69498
268	25537	69397
269	25625	69282
270	25708	69156
271	25813	69088
272	25898	68968
273	25986	68854
274	26074	68742
275	26176	68666
276	26278	68590
277	26386	68529
278	26464	68390
279	26563	68305
280	26658	68212
281	26751	68111
282	26848	68022
283	26950	67945
284	27045	67851
285	27137	67749
286	27254	67708
287	27337	67584
288	27429	67483
289	27521	67380
290	27622	67299
291	27714	67198
292	27805	67094
293	27918	67042
294	28004	66925
295	28093	66817
296	28182	66708
297	28269	66595
298	28362	66496
299	28461	66410
300	28556	66316
301	28653	66225
302	28745	66124
303	28841	66030
304	28941	65948
305	29037	65857
306	29123	65741
307	29217	65643
308	29306	65536
309	29391	65420
310	29479	65309
311	29571	65207
312	29669	65121
313	29757	65010
314	29858	64930
315	29938	64803
316	30031	64704
317	30132	64623
318	30222	64519
319	30308	64404
320	30396	64295
321	30488	64196
322	30581	64097
323	30668	63988
324	30758	63883
325	30849	63781
326	30950	63700
327	31058	63631
328	31135	63501
329	31222	63391
330	31338	63339
331	31431	63242
332	31520	63135
333	31602	63016
334	31697	62922
335	31789	62821
336	31871	62703
337	31959	62595
338	32050	62493
339	32140	62391
340	32236	62298
341	32332	62207
342	32412	62084
343	32504	61984
344	32593	61880
345	32690	61791
346	32775	61677
347	32871	61587
348	32962	61485
349	33059	61397
350	33159	61312
351	33263	61234
352	33343	61113
353	33435	61014
354	33566	60987
355	33685	60936
356	33809	60895
357	33930	60846
358	34027	60757
359	34119	60656
360	34213	60560
361	34312	60473
362	34410	60383
363	34509	60296
364	34625	60238
365	34712	60130
366	34805	60032
367	34910	59954
368	35009	59866
369	35098	59762
370	35213	59700
371	35310	59610
372	35419	59538
373	35522	59457
374	35612	59354
375	35708	59261
376	35839	59226
377	35949	59154
378	36074	59108
379	36170	59014
380	36287	58954
381	36421	58923
382	36560	58898
383	36675	58833
384	36792	58773
385	36905	58704
386	37044	58677
387	37150	58598
388	37267	58535
389	37363	58439
390	37489	58392
391	37596	58313
392	37716	58254
393	37830	58186
394	37961	58143
395	38073	58071
396	38183	57996
397	38281	57903
398	38391	57827
399	38493	57740
400	38589	57643
401	38685	57547
402	38798	57475
403	38905	57394
404	38994	57287
405	39124	57241
406	39219	57142
407	39319	57052
408	39424	56967
409	39524	56876
410	39616	56773
411	39713	56678
412	39803	56572
413	39936	56528
414	40035	56434
415	40136	56344
416	40235	56252
417	40328	56151
418	40433	56066
419	40545	55991
420	40646	55901
421	40770	55842
422	40883	55768
423	41027	55735
424	41145	55666
425	41253	55585
426	41371	55517
427	41551	55531
428	41655	55444
429	41747	55339
430	41843	55241
431	41923	55121
432	42018	55022
433	42116	54926
434	42210	54825
435	42325	54751
436	42415	54645
437	42507	54541
438	42597	54435
439	42685	54327
440	42786	54234
441	42884	54139
442	42994	54058
443	43085	53953
444	43187	53863
445	43283	53764
446	43379	53666
447	43520	53624
448	43615	53523
449	43718	53433
450	43817	53338
451	43907	53233
452	43990	53119
453	44105	53043
454	44194	52936
455	44299	52848
456	44386	52739
457	44495	52655
458	44589	52555
459	44689	52461
460	44779	52355
461	44873	52255
462	44959	52144
463	45051	52041
464	45144	51940
465	45238	51840
466	45327	51734
467	45440	51654
468	45533	51552
469	45632	51457
470	45741	51373
471	45842	51280
472	45943	51188
473	46039	51089
474	46129	50985
475	46229	50890
476	46342	50811
477	46446	50722
478	46545	50627
479	46644	50531
480	46745	50438
481	46851	50351
482	46952	50257
483	47037	50147
484	47125	50040
485	47218	49938
486	47305	49831
487	47394	49725
488	47500	49637
489	47632	49576
490	47727	49477
491	47822	49377
492	47931	49292
493	48024	49191
494	48108	49080
495	48209	48987
496	48307	48890
497	48396	48785
498	48490	48685
499	48591	48591
500	48681	48487
501	48793	48404
502	48936	48352
503	49033	48255
504	49152	48179
505	49254	48086
506	49365	48002
507	49471	47913
508	49561	47808
509	49661	47713
510	49762	47619
511	49854	47517
512	49941	47410
513	50032	47306
514	50125	47205
515	50216	47102
516	50299	46991
517	50389	46887
518	50471	46776
519	50566	46677
520	50650	46567
521	50738	46461
522	50825	46355
523	50958	46290
524	51050	46188
525	51156	46099
526	51252	46000
527	51347	45901
528	51447	45806
529	51544	45708
530	51636	45607
531	51752	45526
532	51850	45430
533	51942	45328
534	52037	45228
535	52123	45122
536	52207	45013
537	52317	44927
538	52427	44840
539	52521	44740
540	52637	44659
541	52744	44570
542	52845	44475
543	52950	44384
544	53039	44280
545	53123	44172
546	53213	44069
547	53299	43962
548	53407	43873
549	53521	43790
550	53617	43692
551	53713	43593
552	53810	43495
553	53902	43394
554	54007	43303
555	54114	43213
556	54221	43124
557	54323	43030
558	54412	42926
559	54498	42819
560	54593	42721
561	54687	42620
562	54775	42516
563	54872	42419
564	54976	42326
565	55070	42227
566	55176	42136
567	55306	42063
568	55413	41974
569	55530	41891
570	55635	41799
571	55760	41722
572	55895	41653
573	56033	41585
574	56171	41518
575	56288	41434
576	56419	41361
577	56550	41287
578	56665	41202
579	56781	41117
580	56899	41034
581	57013	40947
582	57118	40855
583	57222	40761
584	57325	40666
585	57433	40575
586	57554	40494
587	57661	40402
588	57778	40317
589	57871	40216
590	57967	40115
591	58076	40025
592	58169	39924
593	58264	39824
594	58376	39735
595	58471	39634
596	58566	39534
597	58670	39440
598	58764	39339
599	58866	39244
600	58961	39143
601	59065	39050
602	59187	38967
603	59283	38868
604	59389	38774
605	59486	38676
606	59572	38570
607	59672	38473
608	59766	38372
609	59862	38272
610	59961	38175
611	60052	38072
612	60182	37994
613	60284	37898
614	60402	37813
615	60496	37711
616	60577	37603
617	60693	37516
618	60787	37415
619	60885	37317
620	60987	37220
621	61081	37120
622	61211	37041
623	61292	36932
624	61382	36829
625	61475	36728
626	61572	36629
627	61666	36528
628	61782	36440
629	61897	36352
630	62003	36258
631	62095	36156
632	62193	36058
633	62307	35969
634	62413	35875
635	62509	35775
636	62606	35677
637	62712	35582
638	62810	35484
639	62907	35385
640	63015	35292
641	63124	35200
642	63239	35111
643	63337	35012
644	63435	34914
645	63545	34821
646	63678	34742
647	63792	34652
648	63910	34564
649	64021	34472
650	64164	34398
651	64281	34309
652	64383	34212
653	64488	34117
654	64590	34021
655	64695	33925
656	64815	33838
657	64937	33751
658	65049	33659
659	65157	33565
660	65274	33476
661	65379	33381
662	65481	33284
663	65587	33189
664	65692	33093
665	65800	32999
666	65915	32908
667	66067	32835
668	66186	32746
669	66299	32655
670	66404	32558
671	66503	32460
672	66632	32375
673	66747	32284
674	66872	32197
675	66973	32099
676	67080	32004
677	67193	31912
678	67295	31814
679	67390	31713
680	67521	31628
681	67637	31537
682	67745	31442
683	67856	31348
684	68032	31284
685	68138	31188
686	68248	31094
687	68350	30995
688	68464	30903
689	68562	30803
690	68671	30708
691	68777	30612
692	68902	30523
693	69013	30429
694	69121	30333
695	69232	30239
696	69330	30139
697	69430	30040
698	69536	29943
699	69643	29847
700	69760	29755
701	69882	29665
702	69995	29571
703	70115	29480
704	70215	29380
705	70309	29279
706	70412	29180
707	70518	29083
708	70626	28987
709	70735	28892
710	70846	28796
711	70955	28701
712	71066	28606
713	71182	28512
714	71309	28424
715	71413	28326
716	71539	28236
